dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,1.347540,0.510443,1.470000,0.350000,0.000000,0.000000,0.662229
0.100000,1.375045,0.532086,1.505000,0.350000,0.000000,0.000000,0.671066
0.100000,1.402363,0.553966,1.540000,0.350000,0.000000,0.000000,0.679472
0.100000,1.429501,0.576068,1.575000,0.350000,0.000000,0.000000,0.687452
0.100000,1.456466,0.598381,1.610000,0.350000,0.000000,0.000000,0.695008
0.100000,1.483267,0.620892,1.645000,0.350000,0.000000,0.000000,0.702145
0.100000,1.509911,0.643587,1.680000,0.350000,0.000000,0.000000,0.708867
0.100000,1.536407,0.666456,1.715000,0.350000,0.000000,0.000000,0.715177
0.100000,1.562762,0.689486,1.750000,0.350000,0.000000,0.000000,0.721078
0.100000,1.588986,0.712666,1.785000,0.350000,0.000000,0.000000,0.726576
0.100000,1.615087,0.735984,1.820000,0.350000,0.000000,0.000000,0.731673
0.100000,1.641073,0.759430,1.855000,0.350000,0.000000,0.000000,0.736374
0.100000,1.666953,0.782993,1.890000,0.350000,0.000000,0.000000,0.740682
0.100000,1.692737,0.806662,1.925000,0.350000,0.000000,0.000000,0.744599
0.100000,1.718432,0.830427,1.960000,0.350000,0.000000,0.000000,0.748130
0.100000,1.744047,0.854277,1.995000,0.350000,0.000000,0.000000,0.751276
0.100000,1.769592,0.878204,2.030000,0.350000,0.000000,0.000000,0.754041
0.100000,1.795075,0.902196,2.065000,0.350000,0.000000,0.000000,0.756427
0.100000,1.820505,0.926243,2.100000,0.350000,0.000000,0.000000,0.758436
0.100000,1.845892,0.950337,2.135000,0.350000,0.000000,0.000000,0.760069
0.100000,1.871244,0.974468,2.170000,0.350000,0.000000,0.000000,0.761328
0.100000,1.896569,0.998626,2.205000,0.350000,0.000000,0.000000,0.762214
0.100000,1.921878,1.022802,2.240000,0.350000,0.000000,0.000000,0.762728
0.100000,1.947179,1.046986,2.275000,0.350000,0.000000,0.000000,0.762871
0.100000,1.972481,1.071169,2.310000,0.350000,0.000000,0.000000,0.762641
0.100000,1.997793,1.095341,2.345000,0.350000,0.000000,0.000000,0.762040
0.100000,2.023124,1.119493,2.380000,0.350000,0.000000,0.000000,0.761067
0.100000,2.048483,1.143616,2.415000,0.350000,0.000000,0.000000,0.759720
0.100000,2.073879,1.167700,2.450000,0.350000,0.000000,0.000000,0.757999
0.100000,2.099321,1.191736,2.485000,0.350000,0.000000,0.000000,0.755902
0.100000,2.124818,1.215713,2.520000,0.350000,0.000000,0.000000,0.753428
0.100000,2.150378,1.239623,2.555000,0.350000,0.000000,0.000000,0.750574
0.100000,2.176012,1.263454,2.590000,0.350000,0.000000,0.000000,0.747338
0.100000,2.201726,1.287197,2.625000,0.350000,0.000000,0.000000,0.743717
0.100000,2.227531,1.310843,2.660000,0.350000,0.000000,0.000000,0.739708
0.100000,2.253436,1.334379,2.695000,0.350000,0.000000,0.000000,0.735309
0.100000,2.279448,1.357796,2.730000,0.350000,0.000000,0.000000,0.730516
0.100000,2.305577,1.381083,2.765000,0.350000,0.000000,0.000000,0.725325
0.100000,2.331831,1.404229,2.800000,0.350000,0.000000,0.000000,0.719733
0.100000,2.358218,1.427222,2.835000,0.350000,0.000000,0.000000,0.713736
0.100000,2.384748,1.450051,2.870000,0.350000,0.000000,0.000000,0.707330
0.100000,2.411428,1.472705,2.905000,0.350000,0.000000,0.000000,0.700512
0.100000,2.438267,1.495170,2.940000,0.350000,0.000000,0.000000,0.693277
0.100000,2.465272,1.517435,2.975000,0.350000,0.000000,0.000000,0.685622
0.100000,2.492451,1.539486,3.010000,0.350000,0.000000,0.000000,0.677542
0.100000,2.519812,1.561312,3.045000,0.350000,0.000000,0.000000,0.669035
0.100000,2.547363,1.582898,3.080000,0.350000,0.000000,0.000000,0.660098
0.100000,2.575110,1.604231,3.115000,0.350000,0.000000,0.000000,0.650727
0.100000,2.603060,1.625297,3.150000,0.350000,0.000000,0.000000,0.640919
0.100000,2.631220,1.646081,3.185000,0.350000,0.000000,0.000000,0.630674
0.100000,2.659596,1.666570,3.220000,0.350000,0.000000,0.000000,0.619989
0.100000,2.688194,1.686748,3.255000,0.350000,0.000000,0.000000,0.608864
0.100000,2.717019,1.706601,3.290000,0.350000,0.000000,0.000000,0.597299
0.100000,2.746076,1.726112,3.325000,0.350000,0.000000,0.000000,0.585295
0.100000,2.775369,1.745267,3.360000,0.350000,0.000000,0.000000,0.572855
0.100000,2.804902,1.764049,3.395000,0.350000,0.000000,0.000000,0.559981
0.100000,2.834678,1.782443,3.430000,0.350000,0.000000,0.000000,0.546677
0.100000,2.864700,1.800433,3.465000,0.350000,0.000000,0.000000,0.532950
0.100000,2.894970,1.818003,3.500000,0.350000,0.000000,0.000000,0.518807
0.100000,2.925489,1.835137,3.535000,0.350000,0.000000,0.000000,0.504256
0.100000,2.956258,1.851819,3.570000,0.350000,0.000000,0.000000,0.489308
0.100000,2.987275,1.868033,3.605000,0.350000,0.000000,0.000000,0.473975
0.100000,3.018541,1.883764,3.640000,0.350000,0.000000,0.000000,0.458270
0.100000,3.050052,1.898996,3.675000,0.350000,0.000000,0.000000,0.442209
0.100000,3.081806,1.913714,3.710000,0.350000,0.000000,0.000000,0.425810
0.100000,3.113800,1.927905,3.745000,0.350000,0.000000,0.000000,0.409091
0.100000,3.146028,1.941554,3.780000,0.350000,0.000000,0.000000,0.392073
0.100000,3.178486,1.954648,3.815000,0.350000,0.000000,0.000000,0.374779
0.100000,3.211167,1.967175,3.850000,0.350000,0.000000,0.000000,0.357232
0.100000,3.244064,1.979122,3.885000,0.350000,0.000000,0.000000,0.339458
0.100000,3.277170,1.990480,3.920000,0.350000,0.000000,0.000000,0.321483
0.100000,3.310475,2.001237,3.955000,0.350000,0.000000,0.000000,0.303336
0.100000,3.343971,2.011386,3.990000,0.350000,0.000000,0.000000,0.285044
0.100000,3.377647,2.020919,4.025000,0.350000,0.000000,0.000000,0.266638
0.100000,3.411494,2.029829,4.060000,0.350000,0.000000,0.000000,0.248147
0.100000,3.445499,2.038110,4.095000,0.350000,0.000000,0.000000,0.229600
0.100000,3.479653,2.045759,4.130000,0.350000,0.000000,0.000000,0.211028
0.100000,3.513917,2.052821,4.165000,0.350000,0.000000,0.000000,0.199950
0.100000,3.548221,2.059769,4.200000,0.350000,0.000000,0.000000,0.199679
0.100000,3.582527,2.066703,4.235000,0.350000,0.000000,0.000000,0.199199
0.100000,3.616837,2.073618,4.270000,0.350000,0.000000,0.000000,0.198510
0.100000,3.651153,2.080505,4.305000,0.350000,0.000000,0.000000,0.197611
0.100000,3.685475,2.087359,4.340000,0.350000,0.000000,0.000000,0.196503
0.100000,3.719801,2.094169,4.374995,0.349908,-0.000921,-0.009208,0.195185
