dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.931469,-0.228141,0.963797,0.083628,-0.048957,-0.000000,5.966610
0.100000,0.939185,-0.230662,0.971915,0.078732,-0.048957,0.000000,5.968195
0.100000,0.946440,-0.233020,0.979544,0.073836,-0.048957,0.000000,5.969751
0.100000,0.953233,-0.235216,0.986683,0.068941,-0.048957,0.000000,5.971265
0.100000,0.959563,-0.237252,0.993332,0.064045,-0.048957,-0.000000,5.972726
0.100000,0.965429,-0.239129,0.999491,0.059149,-0.048957,0.000000,5.974122
0.100000,0.970832,-0.240851,1.005162,0.054254,-0.048957,0.000000,5.975444
0.100000,0.975770,-0.242417,1.010342,0.049358,-0.048957,-0.000000,5.976684
0.100000,0.980243,-0.243830,1.015033,0.044462,-0.048957,0.000000,5.977831
0.100000,0.984251,-0.245091,1.019235,0.039567,-0.048957,-0.000000,5.978880
0.100000,0.987793,-0.246201,1.022946,0.034671,-0.048957,0.000000,5.979822
0.100000,0.990868,-0.247162,1.026169,0.029775,-0.048957,0.000000,5.980653
0.100000,0.993477,-0.247976,1.028902,0.024879,-0.048957,-0.000000,5.981366
0.100000,0.995619,-0.248642,1.031145,0.019984,-0.048957,0.000000,5.981958
0.100000,0.997294,-0.249162,1.032898,0.015088,-0.048957,0.000000,5.982425
0.100000,0.998501,-0.249536,1.034162,0.010192,-0.048957,0.000000,5.982763
0.100000,0.999284,-0.249778,1.034982,0.006196,-0.039968,0.089891,5.982983
0.100000,0.999732,-0.249917,1.035450,0.003178,-0.030176,0.097913,5.983109
0.100000,0.999938,-0.249981,1.035666,0.001140,-0.020385,0.097913,5.983168
0.100000,0.999996,-0.249999,1.035727,0.000080,-0.010594,0.097913,5.983184
0.100000,1.000000,-0.250000,1.035731,0.000000,-0.000802,0.097913,5.983185
0.100000,1.000000,-0.250000,1.035731,0.000000,0.000000,0.008022,5.983185
