dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.000004,0.000000,0.000050,0.001000,0.010000,0.100000,0.000000
0.100000,0.000204,0.000000,0.000250,0.003000,0.020000,0.100000,0.000000
0.100000,0.000654,0.000000,0.000700,0.006000,0.030000,0.100000,0.000000
0.100000,0.001454,0.000000,0.001500,0.010000,0.040000,0.100000,0.000000
0.100000,0.002704,0.000000,0.002750,0.015000,0.050000,0.100000,0.000000
0.100000,0.004454,0.000000,0.004500,0.020000,0.050000,-0.000000,0.000000
0.100000,0.006704,0.000000,0.006750,0.025000,0.050000,0.000000,0.000000
0.100000,0.009454,0.000000,0.009500,0.030000,0.050000,0.000000,0.000000
0.100000,0.012704,0.000000,0.012750,0.035000,0.050000,-0.000000,0.000000
0.100000,0.016454,0.000000,0.016500,0.040000,0.050000,0.000000,0.000000
0.100000,0.020704,0.000000,0.020750,0.045000,0.050000,0.000000,0.000000
0.100000,0.025454,0.000000,0.025500,0.050000,0.050000,-0.000000,0.000000
0.100000,0.030704,0.000000,0.030750,0.055000,0.050000,0.000000,0.000000
0.100000,0.036454,0.000000,0.036500,0.060000,0.050000,0.000000,0.000000
0.100000,0.042704,0.000000,0.042750,0.065000,0.050000,0.000000,0.000000
0.100000,0.049454,0.000000,0.049500,0.070000,0.050000,-0.000000,0.000000
0.100000,0.056704,0.000000,0.056750,0.075000,0.050000,0.000000,0.000000
0.100000,0.064454,0.000000,0.064500,0.080000,0.050000,-0.000000,0.000000
0.100000,0.072704,0.000000,0.072750,0.085000,0.050000,0.000000,0.000000
0.100000,0.081454,0.000000,0.081500,0.090000,0.050000,0.000000,0.000000
0.100000,0.090704,0.000000,0.090750,0.095000,0.050000,-0.000000,0.000000
0.100000,0.100454,0.000000,0.100500,0.100000,0.050000,0.000000,0.000000
0.100000,0.110704,0.000000,0.110750,0.105000,0.050000,0.000000,0.000000
0.100000,0.121454,0.000000,0.121500,0.110000,0.050000,-0.000000,0.000000
0.100000,0.132704,0.000000,0.132750,0.115000,0.050000,0.000000,0.000000
0.100000,0.144454,0.000000,0.144500,0.120000,0.050000,0.000000,0.000000
0.100000,0.156704,0.000000,0.156750,0.125000,0.050000,0.000000,0.000000
